"Git hash","a10a8374569b618cc7125cfb9365cccb980bc069"
"Date/Time","2021-03-16T16:36:16.016879"
"k",60.0
"h_tuple","(1.0, -1.5)"
"p",1
"num_pieces",10
"A_pre_type","constant"
"n_pre_type","constant"
"noise_master","(0.0, 0.5)"
"modifier","(0.0, 0.0, 0.0, -0.6)"
"num_repeats",200
0,7
1,8
2,8
3,8
4,8
5,8
6,8
7,8
8,8
9,7
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,7
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,7
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,7
49,8
50,8
51,7
52,8
53,8
54,8
55,8
56,8
57,7
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,8
74,8
75,8
76,7
77,8
78,8
79,8
80,7
81,8
82,8
83,8
84,8
85,8
86,8
87,8
88,8
89,7
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,7
99,7
100,8
101,8
102,8
103,8
104,8
105,8
106,8
107,8
108,7
109,8
110,8
111,8
112,8
113,8
114,8
115,8
116,8
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,8
126,8
127,8
128,8
129,7
130,8
131,7
132,8
133,8
134,8
135,7
136,7
137,8
138,8
139,8
140,7
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
149,8
150,7
151,8
152,8
153,8
154,8
155,7
156,8
157,8
158,8
159,8
160,8
161,8
162,8
163,8
164,8
165,7
166,8
167,8
168,8
169,8
170,8
171,8
172,8
173,8
174,7
175,8
176,8
177,8
178,8
179,7
180,8
181,8
182,8
183,8
184,8
185,7
186,8
187,8
188,7
189,8
190,8
191,8
192,8
193,8
194,8
195,8
196,8
197,8
198,7
199,8
